type,name,description,url
url,AVIS_WL_5_1_amazonaws_com,api,*amazonaws.com
url,AVIS_WL_5_2_transport_connect_us-east-1_amazona,api,transport.connect.us-east-1.amazonaws.com
url,AVIS_WL_5_3_telemetry_connect_us-east-1_amazona,api,telemetry.connect.us-east-1.amazonaws.com
url,AVIS_WL_5_4_qawskiqd_telemetry_connect_us-east-,api,qawskiqd.telemetry.connect.us-east-1.amazonaws.com
url,AVIS_WL_5_5_wfo_mt5_verintcloudservices_comwfo,api,wfo.mt5.verintcloudservices.com/wfo/control/signin
url,AVIS_WL_5_6_tenable_com,api,tenable.com
url,AVIS_WL_5_7_flow_ai,api,flow.ai
url,AVIS_WL_5_8_flowai_app,api,flowai.app
url,AVIS_WL_5_9_AVIS-DigitalAssistant_tpmex_com,api,AVIS-DigitalAssistant.tpmex.com
url,AVIS_WL_5_10_forms_office_comrSL1V7uJuqg,api,forms.office.com/r/SL1V7uJuqg
url,AVIS_WL_5_11_tpmex_com,api,tpmex.com
url,AVIS_WL_5_12_emprising_com,api,emprising.com
url,AVIS_WL_5_13_idaptive_app,api,idaptive.app
url,AVIS_WL_5_14_utils_bindus3_com,api,utils.bindus3.com/
url,AVIS_WL_5_15_speedtest_net,api,speedtest.net
url,AVIS_WL_5_16teleperformance-waha_sabacloud_com,api,.teleperformance-waha.sabacloud.com
url,AVIS_WL_5_17_guides_teleperformance_com,api,guides.teleperformance.com
url,AVIS_WL_5_18_portals_teleperformance_com,api,portals.teleperformance.com
url,AVIS_WL_5_19wblt_ccms_teleperformance_com,api,.wblt.ccms.teleperformance.com
url,AVIS_WL_5_20sebra_ccms_teleperformance_com,api,.sebra.ccms.teleperformance.com
url,AVIS_WL_5_21sngdc_ccms_teleperformance_com,api,.sngdc.ccms.teleperformance.com
url,AVIS_WL_5_22ccms_teleperformance_com,api,.ccms.teleperformance.com
url,AVIS_WL_5_23_login_microsoftonline_com,api,login.microsoftonline.com
url,AVIS_WL_5_24sabacloud_com,api,.sabacloud.com
url,AVIS_WL_5_25teleperformance_com,api,.teleperformance.com
url,AVIS_WL_5_26_teleperformance_sabacloud_com,api,teleperformance.sabacloud.com
url,AVIS_WL_5_27_teleperformancesb_sabacloud_com,api,teleperformancesb.sabacloud.com
url,AVIS_WL_5_28_fort02_emea_teleperformance_com,api,fort02.emea.teleperformance.com
url,AVIS_WL_5_29_www_wblt_ccms_teleperformance_com,api,www.wblt.ccms.teleperformance.com
url,AVIS_WL_5_30_bingmaps_com,api,bingmaps.com
url,AVIS_WL_5_31_www_bingmaps_com,api,www.bingmaps.com
url,AVIS_WL_5_32_bing_com,api,bing.com
url,AVIS_WL_5_33_forms_office_com,api,forms.office.com
url,AVIS_WL_5_34_boris_btruck_com,api,boris.btruck.com
url,AVIS_WL_5_35_buzznerdtrucks_com,api,buzznerdtrucks.com
url,AVIS_WL_5_36_www_buzznerdtrucks_com,api,www.buzznerdtrucks.com
url,AVIS_WL_5_37_cdn_smassets_net,api,cdn.smassets.net
url,AVIS_WL_5_38_www_surveymonkey_com,api,www.surveymonkey.com
url,AVIS_WL_5_39_es_surveymonkey_com,api,es.surveymonkey.com
url,AVIS_WL_5_40_na7fms8_adobeconnect_com,api,na7fms8.adobeconnect.com
url,AVIS_WL_5_41adobeconnect_com,api,.adobeconnect.com
url,AVIS_WL_5_42_www_adobe_com,api,www.adobe.com
url,AVIS_WL_5_43_download_adobe_com,api,download.adobe.com
url,AVIS_WL_5_44_p_typekit_net,api,p.typekit.net
url,AVIS_WL_5_45_use_typekit_net,api,use.typekit.net
url,AVIS_WL_5_46_avisbudget_adobeconnect_com,api,avisbudget.adobeconnect.com
url,AVIS_WL_5_47_cas_webexconnect_com,api,cas.webexconnect.com
url,AVIS_WL_5_48webexconnect_com,api,.webexconnect.com
url,AVIS_WL_5_49_w11sc2_ciscowebex_com,api,w11sc2.ciscowebex.com
url,AVIS_WL_5_50_w11sc1_ciscowebex_com,api,w11sc1.ciscowebex.com
url,AVIS_WL_5_51_w11sc3_ciscowebex_com,api,w11sc3.ciscowebex.com
url,AVIS_WL_5_52ciscowebex_com,api,.ciscowebex.com
url,AVIS_WL_5_53_meetings_webex_com,api,meetings.webex.com
url,AVIS_WL_5_54_avisbudget_adobeconnect_com,api,avisbudget.adobeconnect.com
url,AVIS_WL_5_55_www_abgcustomerservice_com,api,www.abgcustomerservice.com
url,AVIS_WL_5_56_ebc_cybersource_com,api,ebc.cybersource.com
url,AVIS_WL_5_57_www_webex_com,api,www.webex.com
url,AVIS_WL_5_58_www_webex_com_mx,api,www.webex.com.mx
url,AVIS_WL_5_59_crl_usertrust_com,api,crl.usertrust.com
url,AVIS_WL_5_60_ocsp_usertrust_com,api,ocsp.usertrust.com
url,AVIS_WL_5_61_www_proprofs_com,api,www.proprofs.com
url,AVIS_WL_5_62qdoc_tpnsr_com,api,.qdoc.tpnsr.com
url,AVIS_WL_5_63_t0_ssl_ak_tiles_virtualearth_net,api,t0.ssl.ak.tiles.virtualearth.net
url,AVIS_WL_5_64_dev_virtualearth_net,api,dev.virtualearth.net
url,AVIS_WL_5_65_t1_ssl_ak_tiles_virtualearth_net,api,t1.ssl.ak.tiles.virtualearth.net
url,AVIS_WL_5_66_ocsp_digicert_com,api,ocsp.digicert.com
url,AVIS_WL_5_67_crl_verisign_com,api,crl.verisign.com
url,AVIS_WL_5_68_t1_ssl_ak_dynamic_tiles_virtualeart,api,t1.ssl.ak.dynamic.tiles.virtualearth.net
url,AVIS_WL_5_69_t0_ssl_ak_dynamic_tiles_virtualeart,api,t0.ssl.ak.dynamic.tiles.virtualearth.net
url,AVIS_WL_5_70_crl3_digicert_com,api,crl3.digicert.com
url,AVIS_WL_5_71_ocsp_verisign_com,api,ocsp.verisign.com
url,AVIS_WL_5_72_csc3-2010-crl_verisign_com,api,csc3-2010-crl.verisign.com
url,AVIS_WL_5_73_avisbudgetgroup_com,api,avisbudgetgroup.com
url,AVIS_WL_5_74_www_avisbudgetgroup_com,api,www.avisbudgetgroup.com
url,AVIS_WL_5_75_www_w3_org,api,www.w3.org
url,AVIS_WL_5_76_w3_org,api,w3.org
url,AVIS_WL_5_77_ecn_dev_virtualearth_net,api,ecn.dev.virtualearth.net
url,AVIS_WL_5_78_www_microsoft_maps_location_net,api,www.microsoft.maps.location.net
url,AVIS_WL_5_79_microsoft_maps_location_net,api,microsoft.maps.location.net
url,AVIS_WL_5_80_ardownload_adobe_com,api,ardownload.adobe.com
url,AVIS_WL_5_81_www_msftncsi_com,api,www.msftncsi.com
url,AVIS_WL_5_82_ocsp_omniroot_com,api,ocsp.omniroot.com
url,AVIS_WL_5_83_ocsp_msocsp_com,api,ocsp.msocsp.com
url,AVIS_WL_5_84_s_symcd_com,api,s.symcd.com
url,AVIS_WL_5_85_crl_microsoft_com,api,crl.microsoft.com
url,AVIS_WL_5_86_vweb_central_247-inc_net,api,vweb.central.247-inc.net
url,AVIS_WL_5_87_www_movelift_com,api,www.movelift.com
url,AVIS_WL_5_88_secure_marketinghub_opentext_com,api,secure.marketinghub.opentext.com
url,AVIS_WL_5_89_static_opentok_com,api,static.opentok.com
url,AVIS_WL_5_90ds-aksb-a_akamaihd_net,api,.ds-aksb-a.akamaihd.net
url,AVIS_WL_5_91_ds-aksb-a_akamaihd_net,api,ds-aksb-a.akamaihd.net
url,AVIS_WL_5_92_ecn_dev_virtualearth_net,api,ecn.dev.virtualearth.net
url,AVIS_WL_5_93ecn_dev_virtualearth_net,api,.ecn.dev.virtualearth.net
url,AVIS_WL_5_94_armmf_adobe_com,api,armmf.adobe.com
url,AVIS_WL_5_95armmf_adobe_com,api,.armmf.adobe.com
url,AVIS_WL_5_96_javadl-esd-secure_oracle_com,api,javadl-esd-secure.oracle.com
url,AVIS_WL_5_97javadl-esd-secure_oracle_com,api,.javadl-esd-secure.oracle.com
url,AVIS_WL_5_98_s2_symcb_com,api,s2.symcb.com
url,AVIS_WL_5_99s2_symcb_com,api,.s2.symcb.com
url,AVIS_WL_5_100_s1_symcb_com,api,s1.symcb.com
url,AVIS_WL_5_101s1_symcb_com,api,.s1.symcb.com
url,AVIS_WL_5_102armmf_adobe_com,api,.armmf.adobe.com
url,AVIS_WL_5_103_g2_symcb_com,api,g2.symcb.com
url,AVIS_WL_5_104g2_symcb_com,api,.g2.symcb.com
url,AVIS_WL_5_105_g1_symcb_com,api,g1.symcb.com
url,AVIS_WL_5_106g1_symcb_com,api,.g1.symcb.com
url,AVIS_WL_5_107symcb_com,api,.symcb.com
url,AVIS_WL_5_108license_bomgar_com,api,.license.bomgar.com
url,AVIS_WL_5_109teleperformance_com,api,.teleperformance.com
url,AVIS_WL_5_110_wblt_ccms_teleperformance_com,api,wblt.ccms.teleperformance.com
url,AVIS_WL_5_111wblt_ccms_teleperformance_com,api,.wblt.ccms.teleperformance.com
url,AVIS_WL_5_112_www_abgvoice_com,api,www.abgvoice.com
url,AVIS_WL_5_113abgvoice_com,api,.abgvoice.com
url,AVIS_WL_5_114avis_com,api,.avis.com
url,AVIS_WL_5_115_www_avis_com,api,www.avis.com
url,AVIS_WL_5_116budget_com,api,.budget.com
url,AVIS_WL_5_117_budget_com,api,budget.com
url,AVIS_WL_5_118_abgcustomerservice_com,api,abgcustomerservice.com
url,AVIS_WL_5_119_teleperformance_thetrainingarcade_c,api,teleperformance.thetrainingarcade.com
url,AVIS_WL_5_120_thetrainingarcade_com,api,thetrainingarcade.com
url,AVIS_WL_5_121_minigames_gameffective_me,api,minigames.gameffective.me
url,AVIS_WL_5_122gameffective_me,api,.gameffective.me
url,AVIS_WL_5_123_aviscarsales_com,api,aviscarsales.com
url,AVIS_WL_5_124_avisbudget_medallia_com,api,avisbudget.medallia.com
url,AVIS_WL_5_125_budgettruck_com,api,budgettruck.com
url,AVIS_WL_5_126_budgettruck_com,api,budgettruck.com
url,AVIS_WL_5_127_boris_btruck_com,api,boris.btruck.com
url,AVIS_WL_5_128_avisbudget_adobeconnect_com,api,avisbudget.adobeconnect.com
url,AVIS_WL_5_129_pensketruckrental_com,api,pensketruckrental.com
url,AVIS_WL_5_130_symcb_com,api,symcb.com
url,AVIS_WL_5_131akamaiedge_net,api,.akamaiedge.net
url,AVIS_WL_5_132abgroup_centrodecontacto_mx,api,.abgroup.centrodecontacto.mx
url,AVIS_WL_5_133_abgroup_centrodecontacto_mx,api,abgroup.centrodecontacto.mx
url,AVIS_WL_5_134_abgvoice_com,api,abgvoice.com
url,AVIS_WL_5_135_budget_com,api,budget.com
url,AVIS_WL_5_136_avis_com,api,avis.com
url,AVIS_WL_5_137_elearning_teleperformance_com,api,elearning.teleperformance.com
url,AVIS_WL_5_138intra01_teleperformance_mx,api,.intra01.teleperformance.mx
url,AVIS_WL_5_139join_me,api,.join.me
url,AVIS_WL_5_140_fort01_emea_teleperformance_com,api,fort01.emea.teleperformance.com
url,AVIS_WL_5_141_teleperformance_skillport_com,api,teleperformance.skillport.com
url,AVIS_WL_5_142_tp-esat-survey-home_praxidia_com,api,tp-esat-survey-home.praxidia.com
url,AVIS_WL_5_143_surveys_praxidia_com,api,surveys.praxidia.com
url,AVIS_WL_5_144_edmpo1_praxidia_com,api,edmpo1.praxidia.com
url,AVIS_WL_5_145_qdoc_tpnsr_comLogintabid150Defa,api,qdoc.tpnsr.com/Login/tabid/150/Default.aspx?returnurl=%2fdefault.aspx
url,AVIS_WL_5_146_ocsp_comodoca_com,api,ocsp.comodoca.com
url,AVIS_WL_5_147_crl_comodoca_com,api,crl.comodoca.com
url,AVIS_WL_5_148_api-cdn_amazon_com,api,api-cdn.amazon.com
url,AVIS_WL_5_149_cdn_optimizely_com,api,cdn.optimizely.com
url,AVIS_WL_5_150_www_abgvoice_comxvrlogin_mvc,api,www.abgvoice.com/xvr/login.mvc
url,AVIS_WL_5_151akamaitechnologies_com,api,.akamaitechnologies.com
url,AVIS_WL_5_152_a104-93-129-228_deploy_static_akama,api,a104-93-129-228.deploy.static.akamaitechnologies.com
url,AVIS_WL_5_153_ocsp_rootca1_amazontrust_com,api,ocsp.rootca1.amazontrust.com
url,AVIS_WL_5_154_crl_rootg2_amazontrust_com,api,crl.rootg2.amazontrust.com
url,AVIS_WL_5_155_ocsp_rootg2_amazontrust_com,api,ocsp.rootg2.amazontrust.com
url,AVIS_WL_5_156_ts01-b_cloudsink_net,api,ts01-b.cloudsink.net
url,AVIS_WL_5_157_ssl_google-analytics_com,api,ssl.google-analytics.com
url,AVIS_WL_5_158teleperformanceusa_com,api,.teleperformanceusa.com
url,AVIS_WL_5_159avislostandfound_com,api,.avislostandfound.com
url,AVIS_WL_5_160_budgetlostandfound_com,api,budgetlostandfound.com
url,AVIS_WL_5_161_ts01-b_cloudsink_net,api,ts01-b.cloudsink.net
url,AVIS_WL_5_162_lfodown01-b_cloudsink_net,api,lfodown01-b.cloudsink.net
url,AVIS_WL_5_163_forms_office_com,api,forms.office.com
url,AVIS_WL_5_164_avislostandfound_com,api,avislostandfound.com
url,AVIS_WL_5_165_budgetlostandfound_com,api,budgetlostandfound.com
url,AVIS_WL_5_166_teleperformance_percipio_co,api,https://teleperformance.percipio.com
url,AVIS_WL_5_167_teleperformance_percipio_com,api,teleperformance.percipio.com
url,AVIS_WL_5_168_bam_nr-data_net,api,bam.nr-data.net
url,AVIS_WL_5_169percipio_com,api,.percipio.com
url,AVIS_WL_5_170_js-agent_newrelic_com,api,js-agent.newrelic.com
url,AVIS_WL_5_171_tpmex_com,api,tpmex.com
url,AVIS_WL_5_172_200_38_155_88,api,200.38.155.88
url,AVIS_WL_5_173_200_94_82_164,api,200.94.82.164
url,AVIS_WL_5_174_zoom_us,api,https://zoom.us/
url,AVIS_WL_5_175_d24cgw3uvb9a9h_cloudfront_net,api,d24cgw3uvb9a9h.cloudfront.net
url,AVIS_WL_5_176_zoom_usjoin,api,zoom.us/join
url,AVIS_WL_5_177_zoomdv124zc_zoom_us,api,zoomdv124zc.zoom.us
url,AVIS_WL_5_178_zoomdvn83mmr_zoom_us,api,zoomdvn83mmr.zoom.us
url,AVIS_WL_5_179_www3_zoom_us,api,www3.zoom.us
url,AVIS_WL_5_180_zoom_us,api,zoom.us
url,AVIS_WL_5_181_zoomdv125zc_zoom_us,api,zoomdv125zc.zoom.us
url,AVIS_WL_5_182zoom_us,api,*.zoom.us
url,AVIS_WL_5_183_zoom_us,api,zoom.us
url,AVIS_WL_5_184_www_zoom_us,api,www.zoom.us
url,AVIS_WL_5_185_cloudfront_net,api,cloudfront.net
url,AVIS_WL_5_186cloudfront_net,api,.cloudfront.net
url,AVIS_WL_5_187cloudfront_net,api,*.cloudfront.net
url,AVIS_WL_5_188_200_38_155_91,api,200.38.155.91
url,AVIS_WL_5_189_remote1_tpnsr_com,api,remote1.tpnsr.com
url,AVIS_WL_5_190_170_80_97_74,api,170.80.97.74
url,AVIS_WL_5_191_tp-itforce_teleperformance_coTPCL,api,tp-itforce.teleperformance.co/TPCL/USER_Login.aspx
url,AVIS_WL_5_192_tpchat-itforce_teleperformance_co,api,tpchat-itforce.teleperformance.co
url,AVIS_WL_5_193gototp_com,api,.gototp.com
url,AVIS_WL_5_194tpcdn_io,api,.tpcdn.io
url,AVIS_WL_5_195_centrical_me,api,centrical.me
url,AVIS_WL_5_196centrical_me,api,.centrical.me
url,AVIS_WL_5_197_secure_centrical_me,api,secure.centrical.me
url,AVIS_WL_5_198_tpnsr_gameffective_me,api,tpnsr.gameffective.me
url,AVIS_WL_5_199gameffective_me,api,.gameffective.me
url,AVIS_WL_5_200pubnub_com,api,.pubnub.com
url,AVIS_WL_5_201qlikview_gameffective_me,api,.qlikview.gameffective.me
url,AVIS_WL_5_202gameffective-res_cloudinary_com,api,.gameffective-res.cloudinary.com
url,AVIS_WL_5_203gameffective_app_box_com,api,.gameffective.app.box.com
url,AVIS_WL_5_204_api_box_com,api,api.box.com
url,AVIS_WL_5_205boxcloud_com,api,.boxcloud.com
url,AVIS_WL_5_206_dl_boxcloud_com,api,dl.boxcloud.com
url,AVIS_WL_5_207boxcdn_net,api,.boxcdn.net
url,AVIS_WL_5_208sim_gameffectiveapplication_com,api,.sim.gameffectiveapplication.com
url,AVIS_WL_5_209gameffectiveapplication_com,api,.gameffectiveapplication.com
url,AVIS_WL_5_210_cdn_mxpnl_com,api,cdn.mxpnl.com
url,AVIS_WL_5_211mxpnl_com,api,.mxpnl.com
url,AVIS_WL_5_212_api_mixpanel_com,api,api.mixpanel.com
url,AVIS_WL_5_213_survicate_com,api,survicate.com
url,AVIS_WL_5_214_survicate,api,survicate
url,AVIS_WL_5_215_culturalgo_com,api,culturalgo.com
url,AVIS_WL_5_216_googleapis_com,api,googleapis.com
url,AVIS_WL_5_217_gstatic_com,api,gstatic.com
url,AVIS_WL_5_218_surveys_praxidia_com,api,surveys.praxidia.com
url,AVIS_WL_5_219_cawi1_praxidia_com,api,cawi1.praxidia.com
url,AVIS_WL_5_220_location-inference-westus_cloudapp_,api,location-inference-westus.cloudapp.net
url,AVIS_WL_5_221_geo_prod_do_dsp_mp_microsoft_com,api,geo.prod.do.dsp.mp.microsoft.com
url,AVIS_WL_5_222_secure_centrical_me,api,secure.centrical.me
url,AVIS_WL_5_223_tpnsr_centrical_me,api,tpnsr.centrical.me
url,AVIS_WL_5_224_pubnub_com,api,pubnub.com
url,AVIS_WL_5_225_qlikview_gameffective_me,api,qlikview.gameffective.me
url,AVIS_WL_5_226_gameffective-res_cloudinary_com,api,gameffective-res.cloudinary.com
url,AVIS_WL_5_227_gameffective_me,api,gameffective.me
url,AVIS_WL_5_228_gameffective_app_box_com,api,gameffective.app.box.com
url,AVIS_WL_5_229_box_com,api,box.com
url,AVIS_WL_5_230_boxcloud_com,api,boxcloud.com
url,AVIS_WL_5_231_gameffectiveapplication_com,api,gameffectiveapplication.com
url,AVIS_WL_5_232_mxpnl_com,api,mxpnl.com
url,AVIS_WL_5_233_mixpanel_com,api,mixpanel.com
url,AVIS_WL_5_234_sso_emea_teleperformance_com,api,sso.emea.teleperformance.com
url,AVIS_WL_5_235_185_84_1_216,api,185.84.1.216
url,AVIS_WL_5_236_teleperformance-mytp_sabacloud_com,api,teleperformance-mytp.sabacloud.com
url,AVIS_WL_5_237_ontp_com,api,ontp.com
url,AVIS_WL_5_238_ontp_host,api,ontp.host
url,AVIS_WL_5_239_ontp_com,api,ontp.com
url,AVIS_WL_5_240_ontp_app,api,ontp.app
url,AVIS_WL_5_241_ontp_io,api,ontp.io
url,AVIS_WL_5_242_ontp_host,api,ontp.host
url,AVIS_WL_5_243_visualstudio_com,api,visualstudio.com
url,AVIS_WL_5_244_microsoftonline_com,api,microsoftonline.com
url,AVIS_WL_5_245_msftauth_net,api,msftauth.net
url,AVIS_WL_5_246_microsoftonline-p_com,api,microsoftonline-p.com
url,AVIS_WL_5_247_microsoftazuread-sso_com,api,microsoftazuread-sso.com
url,AVIS_WL_5_248_mytp_teleperformance_com,api,mytp.teleperformance.com
url,AVIS_WL_5_249_fontawesome_com,api,fontawesome.com
url,AVIS_WL_5_250_microsoft_com,api,microsoft.com
url,AVIS_WL_5_251_googleapis_com,api,googleapis.com
url,AVIS_WL_5_252_medallia,api,*medallia*
url,AVIS_WL_5_253_symbeeconnect_com,api,symbeeconnect.com
url,AVIS_WL_5_254_fs_apps_abg_com,api,fs.apps.abg.com
url,AVIS_WL_5_255_d2cfsbsry92a0v_cloudfront_net,api,d2cfsbsry92a0v.cloudfront.net
url,AVIS_WL_5_256_wfo_mt5_verintcloudservices_com,api,wfo.mt5.verintcloudservices.com
url,AVIS_WL_5_257_48qxm9t_x_incapdns_net,api,48qxm9t.x.incapdns.net
url,AVIS_WL_5_258_appsurvey_emprising_com,api,appsurvey.emprising.com
url,AVIS_WL_5_259_mgw_mt5_verintcloudservices_com,api,mgw.mt5.verintcloudservices.com
url,AVIS_WL_5_260_symbeereporting_com,api,symbeereporting.com
url,AVIS_WL_5_261_abgconnectdr1_my_connect_aws,api,abgconnectdr1.my.connect.aws
